Model	Displ	Cyl	Trans	Drive	Fuel	Sales Area	Stnd	Stnd Description	Underhood ID	Veh Class	Air Pollution Score	City MPG	Hwy MPG	Cmb MPG	Greenhouse Gas Score	SmartWay
BENTLEY Continental GT	6	12	Auto-S6	4WD	Gasoline	CA	L2	LEV-II LEV	9BEXV06.0501	small car	6	10	17	13	0	no
BENTLEY Continental GTC	6	12	Auto-S6	4WD	Gasoline	FA	B5	Bin 5	9BEXV06.0501	small car	6	10	17	12	0	no
BENTLEY Continental GTC	6	12	Auto-S6	4WD	Gasoline	CA	L2	LEV-II LEV	9BEXV06.0501	small car	6	10	17	12	0	no
BMW 128i	3	6	Man-6	2WD	Gasoline	CA	S2	LEV-II SULEV	9BMXV03.0N51	small car	9.5	18	28	21	5	no
BMW 128i	3	6	Auto-S6	2WD	Gasoline	CA	S2	LEV-II SULEV	9BMXV03.0N51	small car	9.5	18	28	22	6	yes
BMW 128i	3	6	Man-6	2WD	Gasoline	CA	U2	LEV-II ULEV	9BMXB03.0N5R	small car	7	18	28	21	5	no
BMW 128i	3	6	Auto-S6	2WD	Gasoline	CA	U2	LEV-II ULEV	9BMXB03.0N5R	small car	7	18	28	22	6	yes
BMW 128i	3	6	Man-6	2WD	Gasoline	FA	B5	Bin 5	9BMXB03.0N5R	small car	6	18	28	21	5	no
BMW 128i	3	6	Man-6	2WD	Gasoline	FA	B5	Bin 5	9BMXV03.0N51	small car	6	18	28	21	5	no
BMW 128i	3	6	Auto-S6	2WD	Gasoline	FA	B5	Bin 5	9BMXB03.0N5R	small car	6	18	28	22	6	no
BMW 128i	3	6	Auto-S6	2WD	Gasoline	FA	B5	Bin 5	9BMXV03.0N51	small car	6	18	28	22	6	no
BMW 128i Convertible	3	6	Auto-S6	2WD	Gasoline	CA	S2	LEV-II SULEV	9BMXV03.0N51	small car	9.5	18	27	21	5	no
BMW 128i Convertible	3	6	Man-6	2WD	Gasoline	CA	S2	LEV-II SULEV	9BMXV03.0N51	small car	9.5	18	28	21	5	no
BMW 128i Convertible	3	6	Auto-S6	2WD	Gasoline	CA	U2	LEV-II ULEV	9BMXB03.0N5R	small car	7	18	27	21	5	no
BMW 128i Convertible	3	6	Man-6	2WD	Gasoline	CA	U2	LEV-II ULEV	9BMXB03.0N5R	small car	7	18	28	21	5	no
BMW 128i Convertible	3	6	Auto-S6	2WD	Gasoline	FA	B5	Bin 5	9BMXB03.0N5R	small car	6	18	27	21	5	no
BMW 128i Convertible	3	6	Auto-S6	2WD	Gasoline	FA	B5	Bin 5	9BMXV03.0N51	small car	6	18	27	21	5	no
BMW 128i Convertible	3	6	Man-6	2WD	Gasoline	FA	B5	Bin 5	9BMXB03.0N5R	small car	6	18	28	21	5	no
BMW 128i Convertible	3	6	Man-6	2WD	Gasoline	FA	B5	Bin 5	9BMXV03.0N51	small car	6	18	28	21	5	no
BMW 135i	3	6	Man-6	2WD	Gasoline	FA	B5	Bin 5	9BMXV03.054R	small car	6	17	25	20	5	no
BMW 135i	3	6	Auto-S6	2WD	Gasoline	FA	B5	Bin 5	9BMXV03.054R	small car	6	18	25	20	5	no
BMW 135i	3	6	Man-6	2WD	Gasoline	CA	L2	LEV-II LEV	9BMXV03.054R	small car	6	17	25	20	5	no
BMW 135i	3	6	Auto-S6	2WD	Gasoline	CA	L2	LEV-II LEV	9BMXV03.054R	small car	6	18	25	20	5	no
BMW 135i Convertible	3	6	Man-6	2WD	Gasoline	FA	B5	Bin 5	9BMXV03.054R	small car	6	17	26	20	5	no
BMW 135i Convertible	3	6	Auto-S6	2WD	Gasoline	FA	B5	Bin 5	9BMXV03.054R	small car	6	17	26	20	5	no
BMW 135i Convertible	3	6	Man-6	2WD	Gasoline	CA	L2	LEV-II LEV	9BMXV03.054R	small car	6	17	26	20	5	no
BMW 135i Convertible	3	6	Auto-S6	2WD	Gasoline	CA	L2	LEV-II LEV	9BMXV03.054R	small car	6	17	26	20	5	no
BMW 328ci	3	6	Man-6	4WD	Gasoline	CA	S2	LEV-II SULEV	9BMXV03.0N51	small car	9.5	17	25	20	5	no
BMW 328ci	3	6	Auto-S6	4WD	Gasoline	CA	S2	LEV-II SULEV	9BMXV03.0N51	small car	9.5	17	25	20	5	no
BMW 328ci	3	6	Man-6	2WD	Gasoline	CA	S2	LEV-II SULEV	9BMXV03.0N51	small car	9.5	18	28	21	5	no
BMW 328ci	3	6	Auto-S6	2WD	Gasoline	CA	S2	LEV-II SULEV	9BMXV03.0N51	small car	9.5	18	28	22	6	yes
BMW 328ci	3	6	Man-6	4WD	Gasoline	CA	U2	LEV-II ULEV	9BMXB03.0N5R	small car	7	17	25	20	5	no
BMW 328ci	3	6	Auto-S6	4WD	Gasoline	CA	U2	LEV-II ULEV	9BMXB03.0N5R	small car	7	17	25	20	5	no
