"Model"	"Displ"	"Cyl"	"Trans"	"Drive"	"Fuel"	"Veh.Class"	"Air.Pollution.Score"	"City.MPG"	"Hwy.MPG"	"Cmb.MPG"	"Greenhouse.Gas.Score"	"dataYear"
"NISSAN Pathfinder"	5.6	8	"SemiAuto-5"	"4WD"	"Gasoline"	"SUV"	5	13	18	14	1	"12"
"NISSAN Quest"	3.5	6	"CVT"	"2WD"	"Gasoline"	"minivan"	5	19	24	21	4	"12"
"NISSAN Quest"	3.5	6	"CVT"	"2WD"	"Gasoline"	"minivan"	6	19	24	21	4	"12"
"NISSAN Quest"	3.5	6	"CVT"	"2WD"	"Gasoline"	"minivan"	5	19	24	21	4	"12"
"NISSAN Rogue"	2.5	4	"CVT"	"4WD"	"Gasoline"	"SUV"	5	22	26	24	5	"12"
"NISSAN Rogue"	2.5	4	"CVT"	"4WD"	"Gasoline"	"SUV"	5	22	26	24	5	"12"
"NISSAN Rogue"	2.5	4	"CVT"	"4WD"	"Gasoline"	"SUV"	6	22	26	24	5	"12"
"NISSAN Rogue"	2.5	4	"CVT"	"2WD"	"Gasoline"	"SUV"	5	23	28	25	6	"12"
"NISSAN Rogue"	2.5	4	"CVT"	"2WD"	"Gasoline"	"SUV"	5	23	28	25	6	"12"
"NISSAN Rogue"	2.5	4	"CVT"	"2WD"	"Gasoline"	"SUV"	6	23	28	25	6	"12"
"NISSAN Sentra"	2	4	"CVT"	"2WD"	"Gasoline"	"midsize car"	9	27	34	30	7	"12"
"NISSAN Sentra"	2	4	"CVT"	"2WD"	"Gasoline"	"midsize car"	5	27	34	30	7	"12"
"NISSAN Sentra"	2	4	"CVT"	"2WD"	"Gasoline"	"midsize car"	5	27	34	30	7	"12"
"NISSAN Sentra"	2	4	"Man-6"	"2WD"	"Gasoline"	"midsize car"	9	24	31	27	6	"12"
"NISSAN Sentra"	2	4	"Man-6"	"2WD"	"Gasoline"	"midsize car"	5	24	31	27	6	"12"
"NISSAN Sentra"	2	4	"Man-6"	"2WD"	"Gasoline"	"midsize car"	5	24	31	27	6	"12"
"NISSAN Sentra"	2.5	4	"Man-6"	"2WD"	"Gasoline"	"midsize car"	5	21	28	24	5	"12"
"NISSAN Sentra"	2.5	4	"Man-6"	"2WD"	"Gasoline"	"midsize car"	5	21	28	24	5	"12"
"NISSAN Sentra"	2.5	4	"SCV-6"	"2WD"	"Gasoline"	"midsize car"	5	24	30	26	6	"12"
"NISSAN Sentra"	2.5	4	"SCV-6"	"2WD"	"Gasoline"	"midsize car"	5	24	30	26	6	"12"
"NISSAN Titan"	5.6	8	"Auto-5"	"4WD"	"Gasoline"	"pickup"	5	12	17	14	1	"12"
"NISSAN Titan"	5.6	8	"Auto-5"	"4WD"	"Gasoline"	"pickup"	5	12	17	14	1	"12"
"NISSAN Titan"	5.6	8	"Auto-5"	"2WD"	"Gasoline"	"pickup"	5	13	18	15	1	"12"
"NISSAN Titan"	5.6	8	"Auto-5"	"2WD"	"Gasoline"	"pickup"	5	13	18	15	1	"12"
"NISSAN Versa"	1.6	4	"CVT"	"2WD"	"Gasoline"	"small car"	5	30	38	33	8	"12"
"NISSAN Versa"	1.6	4	"CVT"	"2WD"	"Gasoline"	"small car"	6	30	38	33	8	"12"
"NISSAN Versa"	1.6	4	"Man-5"	"2WD"	"Gasoline"	"small car"	5	27	36	30	7	"12"
"NISSAN Versa"	1.6	4	"Man-5"	"2WD"	"Gasoline"	"small car"	6	27	36	30	7	"12"
"NISSAN Versa"	1.8	4	"Auto-4"	"2WD"	"Gasoline"	"small car"	5	24	32	27	6	"12"
"NISSAN Versa"	1.8	4	"Auto-4"	"2WD"	"Gasoline"	"small car"	6	24	32	27	6	"12"
"NISSAN Versa"	1.8	4	"CVT"	"2WD"	"Gasoline"	"small car"	5	28	34	30	7	"12"
